PlotCode,Year,Management,Anon_ID,Physiog
BEPL1,1994,Burned,LTavLC,Forb
BEPL1,1994,Burned,hYPSJi,Forb
BEPL1,1994,Burned,vCBuoK,Forb
BEPL1,1994,Burned,bFVSnr,Forb
BEPL1,1997,Burned,EEhjAo,Forb
BEPL1,1997,Burned,lYEGor,Forb
BEPL1,1997,Burned,CNMnqz,Forb
BEPL1,1997,Burned,LmRjVr,Forb
BEPL1,1997,Burned,WhTYky,Herbaceous Vine
BEPL1,1997,Burned,VgwiTp,Forb
BEPL1,1997,Burned,twflQS,Sedge
BEPL1,1997,Burned,YQxyVb,Forb
BEPL1,1997,Burned,CCYKBr,Forb
BEPL1,1997,Burned,WCxpHI,Forb
BEPL1,1997,Burned,fOVplP,Forb
BEPL1,1997,Burned,tRuSAL,Forb
BEPL1,1997,Burned,hYPSJi,Forb
BEPL1,1997,Burned,vCBuoK,Forb
BEPL1,1997,Burned,bFVSnr,Forb
BEPL1,2002,Burned,tsSSqw,Sedge
BEPL1,2002,Burned,dVqJiJ,Grass
BEPL1,2002,Burned,rkgUpY,Grass
BEPL1,2002,Burned,lYEGor,Forb
BEPL1,2002,Burned,VgwiTp,Forb
BEPL1,2002,Burned,EEhjAo,Forb
BEPL1,2002,Burned,AiRoBj,Sedge
BEPL1,2002,Burned,DGUUwy,Grass
BEPL1,2002,Burned,vmqBeY,Forb
BEPL1,2002,Burned,YQxyVb,Forb
BEPL1,2002,Burned,LmRjVr,Forb
BEPL1,2002,Burned,UoEbYp,Sedge
BEPL1,2002,Burned,WhTYky,Herbaceous Vine
BEPL1,2002,Burned,ANiQpz,Forb
BEPL1,2002,Burned,CCYKBr,Forb
BEPL1,2002,Burned,hYPSJi,Forb
BEPL1,2002,Burned,CNMnqz,Forb
BEPL1,2002,Burned,vCBuoK,Forb
BEPL1,2002,Burned,bFVSnr,Forb
BEPL1,2007,Burned,LTavLC,Forb
BEPL1,2007,Burned,dVqJiJ,Grass
BEPL1,2007,Burned,fOVplP,Forb
BEPL1,2007,Burned,eOvBox,Forb
BEPL1,2007,Burned,OdbMAZ,Herbaceous Vine
BEPL1,2007,Burned,WhTYky,Herbaceous Vine
BEPL1,2007,Burned,VfGQNF,Grass
BEPL1,2007,Burned,NhJuqc,Forb
BEPL1,2007,Burned,LmRjVr,Forb
BEPL1,2007,Burned,tDrleT,Forb
BEPL1,2007,Burned,twflQS,Sedge
BEPL1,2007,Burned,FDijus,Forb
BEPL1,2007,Burned,DGUUwy,Grass
BEPL1,2007,Burned,QsZMRL,Forb
BEPL1,2007,Burned,VgwiTp,Forb
BEPL1,2007,Burned,tRuSAL,Forb
BEPL1,2007,Burned,CCYKBr,Forb
BEPL1,2007,Burned,rClBAU,Forb
BEPL1,2007,Burned,vmqBeY,Forb
BEPL1,2007,Burned,hYPSJi,Forb
BEPL1,2007,Burned,ANiQpz,Forb
BEPL1,2007,Burned,CNMnqz,Forb
BEPL1,2007,Burned,bFVSnr,Forb
BEPL1,2007,Burned,vCBuoK,Forb
BEPL1,2012,Burned,tsSSqw,Sedge
BEPL1,2012,Burned,lYEGor,Forb
BEPL1,2012,Burned,ULFcHl,Grass
BEPL1,2012,Burned,CEyihn,Forb
BEPL1,2012,Burned,OdbMAZ,Herbaceous Vine
BEPL1,2012,Burned,KOUPBZ,Sedge
BEPL1,2012,Burned,WgfmiW,Forb
BEPL1,2012,Burned,hQzlBD,Grass
BEPL1,2012,Burned,VgwiTp,Forb
BEPL1,2012,Burned,iKsRuD,Forb
BEPL1,2012,Burned,RWECfS,Forb
BEPL1,2012,Burned,tRuSAL,Forb
BEPL1,2012,Burned,FDijus,Forb
BEPL1,2012,Burned,difKdw,Forb
BEPL1,2012,Burned,UoEbYp,Sedge
BEPL1,2012,Burned,DGUUwy,Grass
BEPL1,2012,Burned,eMnKnj,Forb
BEPL1,2012,Burned,eOvBox,Forb
BEPL1,2012,Burned,vmqBeY,Forb
BEPL1,2012,Burned,ANiQpz,Forb
BEPL1,2012,Burned,tDrleT,Forb
BEPL1,2012,Burned,hYPSJi,Forb
BEPL1,2012,Burned,vCBuoK,Forb
BEPL1,2012,Burned,bFVSnr,Forb
BEPL1,2012,Burned,CNMnqz,Forb
BEPL2,1994,Burned,NhJuqc,Forb
BEPL2,1994,Burned,hYPSJi,Forb
BEPL2,1994,Burned,bFVSnr,Forb
BEPL2,1994,Burned,vCBuoK,Forb
BEPL2,1997,Burned,twflQS,Sedge
BEPL2,1997,Burned,uTkbKs,Forb
BEPL2,1997,Burned,lYEGor,Forb
BEPL2,1997,Burned,vyjCGD,Forb
BEPL2,1997,Burned,WCxpHI,Forb
BEPL2,1997,Burned,LTavLC,Forb
BEPL2,1997,Burned,YQxyVb,Forb
BEPL2,1997,Burned,DGUUwy,Grass
BEPL2,1997,Burned,NhJuqc,Forb
BEPL2,1997,Burned,WgfmiW,Forb
BEPL2,1997,Burned,fOVplP,Forb
BEPL2,1997,Burned,CNMnqz,Forb
BEPL2,1997,Burned,tRuSAL,Forb
BEPL2,1997,Burned,hYPSJi,Forb
BEPL2,1997,Burned,vCBuoK,Forb
BEPL2,1997,Burned,bFVSnr,Forb
BEPL2,2002,Burned,hYPSJi,Forb
BEPL2,2002,Burned,DGUUwy,Grass
BEPL2,2002,Burned,YQxyVb,Forb
BEPL2,2002,Burned,DcNkAU,Forb
BEPL2,2002,Burned,twflQS,Sedge
BEPL2,2002,Burned,rkgUpY,Grass
BEPL2,2002,Burned,VgwiTp,Forb
BEPL2,2002,Burned,ANiQpz,Forb
BEPL2,2002,Burned,UoEbYp,Sedge
BEPL2,2002,Burned,CCYKBr,Forb
BEPL2,2002,Burned,CNMnqz,Forb
BEPL2,2002,Burned,vCBuoK,Forb
BEPL2,2002,Burned,bFVSnr,Forb
BEPL2,2007,Burned,WgfmiW,Forb
BEPL2,2007,Burned,YSmeJt,Forb
BEPL2,2007,Burned,eMnKnj,Forb
BEPL2,2007,Burned,EEhjAo,Forb
BEPL2,2007,Burned,tDrleT,Forb
BEPL2,2007,Burned,rkgUpY,Grass
BEPL2,2007,Burned,YQxyVb,Forb
BEPL2,2007,Burned,UoEbYp,Sedge
BEPL2,2007,Burned,ANiQpz,Forb
BEPL2,2007,Burned,twflQS,Sedge
BEPL2,2007,Burned,NhJuqc,Forb
BEPL2,2007,Burned,DcNkAU,Forb
BEPL2,2007,Burned,OdbMAZ,Herbaceous Vine
BEPL2,2007,Burned,VgwiTp,Forb
BEPL2,2007,Burned,FDijus,Forb
BEPL2,2007,Burned,LmRjVr,Forb
BEPL2,2007,Burned,hYPSJi,Forb
BEPL2,2007,Burned,DGUUwy,Grass
BEPL2,2007,Burned,tRuSAL,Forb
BEPL2,2007,Burned,CCYKBr,Forb
BEPL2,2007,Burned,CNMnqz,Forb
BEPL2,2007,Burned,vmqBeY,Forb
BEPL2,2007,Burned,vCBuoK,Forb
BEPL2,2007,Burned,bFVSnr,Forb
BEPL2,2012,Burned,OdbMAZ,Herbaceous Vine
BEPL2,2012,Burned,eMnKnj,Forb
BEPL2,2012,Burned,pGfBUN,Forb
BEPL2,2012,Burned,UoEbYp,Sedge
BEPL2,2012,Burned,KpvKxh,Forb
BEPL2,2012,Burned,lYEGor,Forb
BEPL2,2012,Burned,WgfmiW,Forb
BEPL2,2012,Burned,YQxyVb,Forb
BEPL2,2012,Burned,fOVplP,Forb
BEPL2,2012,Burned,CCYKBr,Forb
BEPL2,2012,Burned,tRuSAL,Forb
BEPL2,2012,Burned,NhJuqc,Forb
BEPL2,2012,Burned,DGUUwy,Grass
BEPL2,2012,Burned,ANiQpz,Forb
BEPL2,2012,Burned,vmqBeY,Forb
BEPL2,2012,Burned,VgwiTp,Forb
BEPL2,2012,Burned,FDijus,Forb
BEPL2,2012,Burned,hYPSJi,Forb
BEPL2,2012,Burned,CNMnqz,Forb
BEPL2,2012,Burned,vCBuoK,Forb
BEPL2,2012,Burned,bFVSnr,Forb
BLPL1,1987,Burned,LTavLC,Forb
BLPL1,1987,Burned,YSZXnZ,Forb
BLPL1,1987,Burned,pcARmQ,Forb
BLPL1,1987,Burned,eOvBox,Forb
BLPL1,1987,Burned,tOdoOm,Forb
BLPL1,1987,Burned,CNMnqz,Forb
BLPL1,1987,Burned,vCBuoK,Forb
BLPL1,1987,Burned,hYPSJi,Forb
BLPL1,1987,Burned,bFVSnr,Forb
BLPL1,1987,Burned,NhJuqc,Forb
BLPL1,1987,Burned,FNXufi,Forb
BLPL1,1987,Burned,nmOnks,Forb
BLPL1,1987,Burned,ZJXWtG,Forb
BLPL1,1987,Burned,TdpIKK,Forb
BLPL1,1987,Burned,UarnNz,Forb
BLPL1,1987,Burned,WYzxjD,Forb
BLPL1,1987,Burned,reFBDq,Forb
BLPL1,1987,Burned,vSGAde,Forb
BLPL1,1987,Burned,UoEbYp,Sedge
BLPL1,1987,Burned,BjCZxB,Forb
BLPL1,1987,Burned,gJXWLO,Forb
BLPL1,1987,Burned,QsZMRL,Forb
BLPL1,1987,Burned,uTkbKs,Forb
BLPL1,1987,Burned,alhTJX,Forb
BLPL1,1987,Burned,KrqaHW,Forb
BLPL1,1994,Burned,WhTYky,Herbaceous Vine
BLPL1,1994,Burned,QsZMRL,Forb
BLPL1,1994,Burned,CretiZ,Forb
BLPL1,1994,Burned,tRuSAL,Forb
BLPL1,1994,Burned,hAlmlz,Herbaceous Vine
BLPL1,1994,Burned,KpvKxh,Forb
BLPL1,1994,Burned,FNXufi,Forb
BLPL1,1994,Burned,ANiQpz,Forb
BLPL1,1994,Burned,tOdoOm,Forb
BLPL1,1994,Burned,NhJuqc,Forb
BLPL1,1994,Burned,hYPSJi,Forb
BLPL1,1994,Burned,bFVSnr,Forb
BLPL1,1994,Burned,vCBuoK,Forb
BLPL1,1994,Burned,CNMnqz,Forb
BLPL1,1994,Burned,pcARmQ,Forb
BLPL1,1994,Burned,UoEbYp,Sedge
BLPL1,1994,Burned,lYEGor,Forb
BLPL1,1994,Burned,CCYKBr,Forb
BLPL1,1994,Burned,CEyihn,Forb
BLPL1,1994,Burned,AzpWeP,Sedge
BLPL1,1994,Burned,VhdpbU,Forb
BLPL1,1994,Burned,YQxyVb,Forb
BLPL1,1994,Burned,rkgUpY,Grass
BLPL1,1994,Burned,vSGAde,Forb
BLPL1,1998,Burned,OdbMAZ,Herbaceous Vine
BLPL1,1998,Burned,oZUmwb,Grass
BLPL1,1998,Burned,UoEbYp,Sedge
BLPL1,1998,Burned,dhMewW,Grass
BLPL1,1998,Burned,VgwiTp,Forb
BLPL1,1998,Burned,lRjXyj,Forb
BLPL1,1998,Burned,KNdXUX,Forb
BLPL1,1998,Burned,YSZXnZ,Forb
BLPL1,1998,Burned,CCYKBr,Forb
BLPL1,1998,Burned,KpvKxh,Forb
BLPL1,1998,Burned,LmRjVr,Forb
BLPL1,1998,Burned,WYzxjD,Forb
BLPL1,1998,Burned,DWjuyk,Forb
BLPL1,1998,Burned,Ibnzna,Forb
BLPL1,1998,Burned,ktCCgT,Sedge
BLPL1,1998,Burned,CretiZ,Forb
BLPL1,1998,Burned,rClBAU,Forb
BLPL1,1998,Burned,VhdpbU,Forb
BLPL1,1998,Burned,YQxyVb,Forb
BLPL1,1998,Burned,QsZMRL,Forb
BLPL1,1998,Burned,hAlmlz,Herbaceous Vine
BLPL1,1998,Burned,rkgUpY,Grass
BLPL1,1998,Burned,DGUUwy,Grass
BLPL1,1998,Burned,fOVplP,Forb
BLPL1,1998,Burned,WhTYky,Herbaceous Vine
BLPL1,1998,Burned,vSGAde,Forb
BLPL1,1998,Burned,DCLAHY,Forb
BLPL1,1998,Burned,vmqBeY,Forb
BLPL1,1998,Burned,TdpIKK,Forb
BLPL1,1998,Burned,tRuSAL,Forb
BLPL1,1998,Burned,tOdoOm,Forb
BLPL1,1998,Burned,bFVSnr,Forb
BLPL1,1998,Burned,ANiQpz,Forb
BLPL1,1998,Burned,FNXufi,Forb
BLPL1,1998,Burned,hYPSJi,Forb
BLPL1,1998,Burned,NhJuqc,Forb
BLPL1,1998,Burned,CNMnqz,Forb
BLPL1,1998,Burned,vCBuoK,Forb
BLPL1,2003,Burned,EnijYt,Forb
BLPL1,2003,Burned,LTavLC,Forb
BLPL1,2003,Burned,aGZWsE,Forb
BLPL1,2003,Burned,pcARmQ,Forb
BLPL1,2003,Burned,VYtxhO,Forb
BLPL1,2003,Burned,dhMewW,Grass
BLPL1,2003,Burned,nFKXEO,Forb
BLPL1,2003,Burned,VgwiTp,Forb
BLPL1,2003,Burned,vSGAde,Forb
BLPL1,2003,Burned,ARiRlT,Forb
BLPL1,2003,Burned,rClBAU,Forb
BLPL1,2003,Burned,UarnNz,Forb
BLPL1,2003,Burned,lYEGor,Forb
BLPL1,2003,Burned,YSZXnZ,Forb
BLPL1,2003,Burned,tDrleT,Forb
BLPL1,2003,Burned,uTkbKs,Forb
BLPL1,2003,Burned,EEhjAo,Forb
BLPL1,2003,Burned,VhdpbU,Forb
BLPL1,2003,Burned,DCLAHY,Forb
BLPL1,2003,Burned,RLrywg,Forb
BLPL1,2003,Burned,agGDnR,Forb
BLPL1,2003,Burned,WgfmiW,Forb
BLPL1,2003,Burned,WhTYky,Herbaceous Vine
BLPL1,2003,Burned,KpvKxh,Forb
BLPL1,2003,Burned,twflQS,Sedge
BLPL1,2003,Burned,RWECfS,Forb
BLPL1,2003,Burned,tRuSAL,Forb
BLPL1,2003,Burned,DGUUwy,Grass
BLPL1,2003,Burned,IkwfTk,Sedge
BLPL1,2003,Burned,FDijus,Forb
BLPL1,2003,Burned,RtxzBP,Forb
BLPL1,2003,Burned,hAlmlz,Herbaceous Vine
BLPL1,2003,Burned,rkgUpY,Grass
BLPL1,2003,Burned,QsZMRL,Forb
BLPL1,2003,Burned,CCYKBr,Forb
BLPL1,2003,Burned,CretiZ,Forb
BLPL1,2003,Burned,FNXufi,Forb
BLPL1,2003,Burned,NhJuqc,Forb
BLPL1,2003,Burned,tOdoOm,Forb
