PlotCode,Management,Richness,Gains,Losses
BEPL1,Burned,25,22,1
BEPL2,Burned,21,17,0
BLPL1,Burned,44,29,10
BLPL2,Burned,2,0,1
CHPL2,Burned,38,32,5
CHPL3,Burned,12,7,2
DAPL1,Burned,35,21,9
FBPL2,NotBurned,13,5,14
FIPL1,Burned,33,22,5
FIPL2,Burned,16,8,6
GOPL1,NotBurned,14,7,4
GVPL2,Burned,33,24,3
GVPL3,Burned,32,23,3
HEPL1,Burned,33,28,2
HEPL2,Burned,25,20,1
HIPL1,NotBurned,20,7,9
HIPL2,NotBurned,31,12,11
HIPL3,NotBurned,12,7,4
HIPL4,NotBurned,12,7,6
LYPL1,Burned,56,40,7
LYPL2,Burned,58,47,11
MEPL3,Burned,23,15,9
MEPL4,Burned,27,15,3
MEPL5,Burned,18,13,5
MEPL6,Burned,19,13,4
MPPL1,Burned,14,9,13
MPPL2,Burned,15,12,1
MPPL3,Burned,14,4,5
WDPL1,Burned,29,25,2
WDPL2,Burned,33,24,2
WFPL1,Burned,46,22,9
WFPL2,Burned,40,22,8
WFPL3,Burned,48,29,17
WYPL2,Burned,38,24,5
