Site,CA.300,CA.3400,CA.900,CLUMPY.2700,CLUMPY.300,CLUMPY.3300,CLUMPY.600
bepl1,15.12,392.94,42.3,0.885,0.9209,0.875,0.9376
bepl2,16.65,387.27,41.58,0.8859,0.977,0.8704,0.9439
blpl1,4.5,481.14,88.47,0.7993,0.7507,0.8174,0.7799
blpl2,8.46,567,48.42,0.8164,0.8523,0.8425,0.7529
chpl2,15.57,101.97,63.63,0.7889,0.7951,0.7804,0.8028
chpl3,11.52,102.42,47.79,0.7891,0.7989,0.7826,0.8085
dapl1,15.48,407.97,40.05,0.8153,0.9609,0.8283,0.9429
fbpl2,6.3,234.81,54,0.8516,0.8764,0.8821,0.9126
fipl1,18.27,156.69,41.94,0.8844,0.9601,0.8802,0.9609
fipl2,21.15,156.78,43.02,0.8851,0.9646,0.8802,0.9595
gopl1,4.05,117.99,4.86,0.8655,0.9133,0.8128,0.9192
gvpl2,15.48,407.79,101.52,0.8553,0.9092,0.8579,0.8691
gvpl3,18.63,408.6,108,0.8549,0.8502,0.8568,0.8664
hepl1,18.9,527.13,124.92,0.8517,0.8339,0.8436,0.8429
hepl2,25.74,518.49,127.53,0.8492,0.9444,0.8488,0.8701
hipl1,27.18,394.38,136.26,0.8844,0.9608,0.8716,0.9364
hipl2,28.08,398.16,149.76,0.888,0.9778,0.8705,0.9237
hipl3,26.91,394.47,133.65,0.8885,0.9814,0.8719,0.9298
hipl4,23.31,405.27,156.87,0.8841,0.8714,0.8676,0.921
lypl1,10.08,186.48,37.44,0.8839,0.9491,0.9096,0.8268
lypl2,7.11,197.73,31.68,0.8842,0.9488,0.912,0.8366
mepl3,16.83,60.03,47.61,0.8753,0.8487,0.8705,0.8899
mepl4,15.03,60.57,45.99,0.8753,0.8612,0.8652,0.8878
mepl5,13.77,62.46,43.92,0.8753,0.9219,0.8625,0.8804
mepl6,11.34,65.61,42.12,0.8768,0.9469,0.8537,0.8771
mppl1,20.7,77.94,29.61,0.9122,0.9744,0.8665,0.9663
mppl2,10.8,136.44,29.61,0.8815,0.9339,0.8822,0.9654
mppl3,18.72,100.71,29.61,0.8935,0.9547,0.8733,0.9661
wdpl1,21.24,542.52,53.46,0.8663,0.9618,0.8729,0.9715
wdpl2,22.5,525.87,62.73,0.8629,0.9735,0.8681,0.955
wfpl1,27.27,916.92,177.75,0.8678,0.9694,0.8797,0.9163
wfpl2,26.73,892.35,178.92,0.8671,0.922,0.88,0.8899
wfpl3,25.92,786.96,144.09,0.8616,0.9315,0.8699,0.8331
wypl1,20.43,226.35,50.04,0.7911,0.942,0.7757,0.8821
